pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
horizzontal-parallelepiped,hexagon,720,10,True,96,1788,495,495,0,1.5036687294229472,13.920659013582378,23.858864070619557,13.78290719196896,1.5870372556902843,13.782887255932646,0.014128958263636804,3,1,0.06102639797517821,0.0312895861059704,0.1476491758230067,2.419431274365256,True,True,9.926772409345651e-15,7.860379504380974e-15,6.0626103712883945e-15,True,0.13717021668898333,0.39300248433366436,True,A-C|B-B|C-F|D-D|E-E|F-A
two-triangles,horizzontal-parallelepiped,720,10,True,72,2646,480,480,0,1.569771904198525,13.7775480776576,23.8646477273259,13.607731632238583,1.855057706149232,13.60770350044098,0.013069127359567112,1,1,0.060506335387291874,0.039124640315953044,0.14592718046380518,2.4117669584473664,True,True,9.762389979508782e-15,9.729507111180988e-15,8.005932084973442e-16,True,0.07593647992733599,0.49625046035832693,True,A-B|B-A|C-F|D-D|E-E|F-C
central-trapezoid,vertical-parallelepiped,360,10,True,36,1428,227,227,0,1.5515890316756034,13.822622133668409,23.98277887535783,13.571218323395161,1.9615860987696123,13.571150400165703,0.011573129000050031,1,1,0.060298333662934495,0.029969355214346335,0.14563353224694459,2.4152165308751443,True,True,1.1559155946425613e-14,1.117305858980544e-14,2.962574546329849e-15,True,0.05194102651214602,0.41981971932396717,True,A-B|B-E|C-D|D-A|D-C|E-F
arrow,pentagon,168,10,True,0,696,119,119,0,1.6839380770697685,13.967405047469764,23.45958617243237,13.830038348477203,1.8692856062759562,13.829993540566544,0.01130691632762737,1,1,0.05938039538133976,0.038370800465728584,0.1428241433396467,2.405240693034002,True,True,9.812646081847979e-15,8.623367455276648e-15,4.68247336979956e-15,True,0.1187653942992405,0.3581303928054846,True,A-E|B-C|C-A|C-D|D-E|E-B
2X3,hexagon,720,10,True,104,1509,491,491,0,1.5893296382775688,13.891872879833253,23.83443869299399,13.62459686538513,2.127409073409915,13.624427309679318,0.017309456922713906,1,1,0.05922673569679976,0.04802818812333079,0.14283736479945877,2.411704158923903,True,True,5.078284388188873e-15,4.620782372656675e-15,2.1065000811460206e-15,True,0.0781355750194554,0.5113369478280886,True,A-D|B-F|C-B|D-C|E-A|F-E
cross,vertical-parallelepiped,360,10,True,20,1123,234,234,0,1.641853012100523,14.008960671120244,24.900794111357108,12.965872856991972,4.731811674684944,12.96484710662666,0.0751073713554895,2,1,0.05900784185011659,0.018292208088860028,0.14447812082935016,2.4484562780034076,True,True,6.661338147750939e-15,5.617333549722722e-15,3.580361673049448e-15,True,0.18030888875013476,0.32747907437451723,True,A-E|B-C|C-B|D-A|D-F|E-D
horizzontal-parallelepiped,horizzontal-parallelepiped,720,10,True,212,1983,356,356,0,1.5434492956004977,13.877001523601482,23.496730748278917,13.523074046004952,2.446495343334099,13.523047998357915,0.011700272394506328,1,1,0.05888264705170061,0.04793350141189131,0.14134713587079578,2.400488818831277,True,True,1.2767426428814615e-14,5.622973091470442e-15,1.1462519410138125e-14,True,0.23457637813391888,0.42827695480702754,True,A-C|B-D|C-F|D-E|E-B|F-A
two-triangles,pyramid,720,10,True,2,2866,527,527,0,1.644313062659246,12.877545896597502,25.75696201126461,12.737482619728894,1.667218749787013,12.737482619728894,0.012877996736683883,1,1,0.05884137279722401,0.02913444863284546,0.14229843133066544,2.4183397593568503,True,True,5.611021474463186e-15,2.2650998591337196e-15,5.133506074316015e-15,True,0.05293041758341068,0.41302574003819187,True,A-C|B-A|C-F|D-E|E-B|F-D
pentagon,two-triangles,360,10,True,0,1314,252,252,0,1.6433654819489074,13.779423348628274,24.69749676791622,13.388309108474845,2.4465688422635994,13.388201387507312,0.02341235251201379,1,1,0.05829835838583659,0.04881569641747407,0.14106549039817384,2.419716340287984,True,True,8.191610388096e-15,7.007609531788139e-15,4.242156220644677e-15,True,0.08417006367026594,0.42159434034221743,True,A-B|B-F|C-C|D-D|E-A|E-E
2X3,vertical-parallelepiped,720,10,True,112,2017,474,474,0,1.5095572489584486,13.671967621564558,24.057264835443714,13.336530124051489,2.4762054980879604,13.336511052145822,0.015469530986496949,1,1,0.05820881828779371,0.05797058629143102,0.13944826864223867,2.3956553791005364,True,True,5.140704263513307e-15,4.070144838902081e-15,3.1401849173675502e-15,True,0.20327483498624505,0.4179157688864527,True,A-F|B-D|C-E|D-A|E-C|F-B
