pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
vertical-parallelepiped,horizzontal-parallelepiped,720,10,True,172,1993,416,416,0,1.6145163466521397,13.708647334462734,23.890685167146863,13.460752492365106,1.8610779212304502,13.460752492365106,1.4210854715202004e-14,1,1,0.06620669122387042,0.049521212065440356,0.15940135546823123,2.407632106688939,True,True,0.5024586504978047,0.2143251413245086,0.45445509047242993,True,0.12466421747600853,0.42339245367800304,True,A-C|B-F|C-D|D-E|E-A|F-B
parallelepiped-int,pentagon,78,10,True,0,343,45,45,0,1.948228485881631,13.958374377506136,23.458502400852712,13.78602918388425,1.7173353867646748,13.78602918388425,1.4210854715202004e-14,2,1,0.06608864179607814,0.022289216650803648,0.1581353903172613,2.3927771250799927,True,True,6.04084019108862e-15,3.525832186169774e-15,4.905125646631375e-15,True,0.059968622859296404,0.42433497590705954,True,A-B|B-C|B-E|C-A|C-D|D-E
two-triangles,horizzontal-parallelepiped,720,10,True,72,2637,480,480,0,1.5694500715854904,13.71438759289926,23.841870242341447,13.555822922853794,1.483266542038916,13.555822922853794,1.4210854715202004e-14,3,1,0.06580523735303088,0.03674218033198886,0.1584994720598368,2.408614852485394,True,True,1.2499519400781114e-14,1.120219467503579e-14,5.545161829297978e-15,True,0.06983174069331585,0.49625046035832693,True,A-B|B-F|C-A|D-E|E-C|F-D
hexagon,base-trapezoid,360,10,True,16,1169,248,248,0,1.8989673993267417,14.857184878034303,22.149073489821454,14.751385394856205,1.5625791649426968,14.751385394856205,1.4210854715202004e-14,1,1,0.06539717849564715,0.03052329659479454,0.15815349350018304,2.4211453237504585,True,True,8.62265274246159e-15,6.4047456679787536e-15,5.773159728050814e-15,True,0.06819863265917167,0.4381811915516511,True,A-C|B-A|C-E|D-B|E-D|F-B
central-parallelepiped,horizzontal-parallelepiped,360,10,True,76,910,214,214,0,1.6372696895178038,13.815444406842108,23.749762199164046,13.540362273691619,2.1402590731763818,13.540362273691619,1.4210854715202004e-14,1,1,0.06476597839471598,0.048127612044988326,0.15583899733278242,2.4061861056590903,True,True,7.86693099022212e-15,4.295573257574037e-15,6.5906489508797204e-15,True,0.07227372566323872,0.41981971932396717,True,A-E|B-A|C-B|C-D|D-F|E-C
horizzontal-parallelepiped,base-trapezoid,360,10,True,40,1122,233,233,0,2.2608854520814927,14.645842811771475,22.054629309757015,14.540634011017548,1.7108613609162093,14.540634011017548,1.5987211554602254e-14,1,1,0.0642412490978701,0.04810859649917893,0.1539200367193829,2.395968927766164,True,True,8.084261073518977e-15,6.167736072623137e-15,5.226309294643547e-15,True,0.05851285294104078,0.503420624847555,True,A-D|B-A|C-B|D-B|E-C|F-E
hexagon,2X3,720,10,True,104,1629,487,487,0,1.6750757374776215,13.596605144201746,23.882693891775766,13.389243856597043,1.8662560029577488,13.386577980734273,1.4210854715202004e-14,3,1,0.06407262049804,0.04790433015742773,0.1544690857770937,2.410843892077412,True,True,9.579212774874495e-15,6.123926701805469e-15,7.366059946622259e-15,True,0.14494004371787803,0.46758964805462283,True,A-E|B-C|C-D|D-A|E-F|F-B
vertical-parallelepiped,2X3,720,10,True,112,2170,437,437,0,1.5684431158621313,13.586226516225253,24.114797427457784,13.310051802784596,2.1307449685068756,13.310051802784596,1.4210854715202004e-14,1,1,0.06389868031151848,0.05797058629143092,0.153061754744697,2.3953820955063736,True,True,6.453693591837031e-15,5.486133684017003e-15,3.398896611903986e-15,True,0.1129376939867447,0.42339245367800304,True,A-E|B-B|C-A|D-C|E-F|F-D
arrow,rectangle-opposite,78,10,True,8,435,56,56,0,1.5849118411304148,13.334727074928596,23.37263197962876,13.181323270396703,1.513550250966776,13.181323270396703,1.4210854715202004e-14,1,1,0.06383640288927554,0.056667207504681835,0.15315132055505448,2.399122031056417,True,True,7.755684626330685e-15,6.646518689688359e-15,3.9968028886505635e-15,True,0.25844270592928886,0.36898991146262244,True,A-D|B-A|C-A|C-D|D-B|E-C
pentagon,pyramid,360,10,True,1,1353,280,280,0,1.802834663331683,12.957763316157918,25.894637181595566,12.733135621716118,1.6877236290665016,12.733135621716118,1.4210854715202004e-14,1,1,0.0636271910107221,0.03735121583029562,0.15413052012285774,2.422400198319057,True,True,1.1962687301771006e-14,8.695419738456652e-15,8.215568334084486e-15,True,0.08916388554894873,0.4312665152281575,True,A-A|B-B|C-D|D-F|E-C|E-E
2X3,rectangle-same,180,10,True,60,145,106,106,0,3.5749909406993905,14.536033069951456,21.701265114748974,13.789351234361689,1.5495693970080964,13.789351234361689,1.7763568394002505e-14,2,1,0.06284317993952261,0.0983598747129234,0.1500675526238961,2.3879687942003285,True,True,1.8164280156634014e-14,1.0593180059249863e-14,1.475552811121985e-14,True,0.07680506062315107,0.31140856846121034,True,A-A|B-C|C-B|D-D|E-A|F-C
rectangle-opposite,horizzontal-parallelepiped,180,10,True,28,556,108,108,0,2.1998141404894493,13.571682850902008,23.2049075635162,13.307492954315777,2.527776230519022,13.307492954315777,1.4210854715202004e-14,3,1,0.0626835375928899,0.06668595654383803,0.15109508747811345,2.410442889478081,True,True,1.0816558279119626e-14,9.103828801926284e-15,5.8410815908364745e-15,True,0.18204014879660296,0.4531133653291396,True,A-B|A-F|B-E|C-A|D-C|D-D
pentagon,2X3,360,10,True,0,1526,229,229,0,1.8128258914926723,13.32447418530002,24.440202728814818,13.101735777652774,1.9474135388056277,13.101735777652774,1.5987211554602254e-14,2,1,0.06267937844365126,0.06366119798417628,0.15066406480182384,2.4037262101644927,True,True,5.747498847248628e-15,3.2841133174059266e-15,4.7168148911698185e-15,True,0.051060516802225384,0.3886873512957292,True,A-A|B-F|C-B|D-E|E-C|E-D
rhombus-ext,rectangle-same,34,10,True,14,54,14,14,0,7.815914176765589,15.000676900617044,20.74623527653454,14.97218214112809,0.7035406187404178,14.97218214112809,1.9539925233402755e-14,2,1,0.06264194904870678,0.0521713216061931,0.15097490888507675,2.4101247036181355,True,True,2.7184825855104518e-14,2.1602326940512793e-14,1.6503158107694245e-14,True,0.21208042512686553,0.4305510598091942,True,A-A|A-B|B-C|C-C|D-A|D-D
